timestamp,city,temperature,precipitation,wind_speed,humidity,country,wetbulb_temperature,climate_region,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh,Total renewables - TWh,Total fossil fuels - TWh,Total energy - TWh,Low carbon - TWh,Other - TWh,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%)
2023-02-28 09:00:00,Maputo,25.5,0.18,5.4,81,Mozambique,73.31019306547756,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.6941671917529064,1.4820714904884378,4.666931194264016,0.37
2023-02-28 10:00:00,Maputo,26.9,0.09,7.8,75,Mozambique,74.18805085449502,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.6967870116805202,1.5045280603870257,4.666931194264016,0.37
2023-02-28 11:00:00,Maputo,28.4,0.07,10.2,68,Mozambique,74.84589981254712,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.6985587061233631,1.5218730083638206,4.666931194264016,0.37
2023-02-28 12:00:00,Maputo,29.8,0.09,12.6,62,Mozambique,75.45787246844034,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.7000595107871663,1.5384056261495958,4.666931194264016,0.37
2023-02-28 13:00:00,Maputo,29.4,0.04,13.6,63,Mozambique,75.09365677488351,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.6991834154112126,1.5285201050109358,4.666931194264016,0.37
2023-02-28 14:00:00,Maputo,29.0,0.0,14.5,64,Mozambique,74.72305523388091,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.6982403266197408,1.5186004718059003,4.666931194264016,0.37
2023-02-28 15:00:00,Maputo,28.6,0.0,15.5,64,Mozambique,74.06609538860295,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.6964405345101168,1.5013611794410884,4.666931194264016,0.37
2023-02-28 16:00:00,Maputo,27.5,0.0,14.8,70,Mozambique,73.88379564757119,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.6959121021305537,1.496655661388104,4.666931194264016,0.37
2023-02-28 17:00:00,Maputo,26.3,0.0,14.0,75,Mozambique,73.16598066017916,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.693708867789446,1.478457726623545,4.666931194264016,0.37
2023-02-28 18:00:00,Maputo,25.2,0.0,13.3,80,Mozambique,72.54190957580384,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.6916345902973111,1.463064468208429,4.666931194264016,0.37
2023-02-28 19:00:00,Maputo,24.7,0.0,11.8,81,Mozambique,71.92382819114468,Savana,2.191185175067158e-06,2.191185175067158e-06,1394.390565951828,0.0,308558.7123799117,0.0,63145.97277238992,0.0,0.0,312144.2881209306,66731.5485134089,378875.8366343396,312144.2881209306,0.0,1.6894346556234288,1.448211425442517,4.666931194264016,0.37
